blue,crop_type,green,nir,nir08,red,rededge1,rededge2,rededge3,swir16,swir22,time,unique_id,x,y
576,oil,771,2010,2334,955,1349,1745,1985,3123,2028,03-01-2021,PIXEL_0264,0.967442637,7.011194063
557,oil,781,2301,2747,738,1159,2162,2493,2385,1533,03-01-2021,PIXEL_0244,1.11228753,6.940502308
468,oil,716,2288,2507,779,1292,1903,2120,2771,1628,03-01-2021,PIXEL_0243,0.912172334,6.872519227
526,oil,805,1937,2266,1072,1348,1618,1871,3246,2350,03-01-2021,PIXEL_0242,1.014561014,7.23164819
289,oil,449,809,858,480,644,729,802,1084,705,03-01-2021,PIXEL_0241,0.74194905,6.953353091
5356,oil,5332,5904,6354,5500,6090,6160,6134,6725,5861,03-01-2021,PIXEL_0240,1.101754505,6.910590459
476,oil,726,1990,2293,780,1170,1759,1969,2759,1865,03-01-2021,PIXEL_0239,0.943619298,6.969121175
594,oil,930,2504,2842,1080,1536,2237,2490,3075,2210,03-01-2021,PIXEL_0238,0.979590212,7.130320249
526,oil,753,2148,2352,777,1173,1747,1991,2661,1613,03-01-2021,PIXEL_0245,0.923385544,6.854732412
434,oil,694,1910,2116,805,1225,1603,1778,2773,1773,03-01-2021,PIXEL_0237,0.783595952,7.109243017
3034,oil,3044,4168,4180,2962,3271,3636,3845,4769,3451,03-01-2021,PIXEL_0235,1.125636046,6.838194367
543,oil,793,2894,3128,745,1267,2326,2764,2418,1300,03-01-2021,PIXEL_0234,0.800826641,6.969824011
594,oil,750,1916,1882,811,1152,1462,1667,2174,1483,03-01-2021,PIXEL_0233,0.799211862,6.975877108
594,oil,931,2800,3074,818,1554,2574,2802,3000,1806,03-01-2021,PIXEL_0232,1.112603207,6.955297628
1410,oil,1956,2445,3801,2402,2700,3095,3388,3667,3221,03-01-2021,PIXEL_0231,0.935538501,6.957871829
715,oil,787,1147,1315,729,935,1042,1158,1404,955,03-01-2021,PIXEL_0229,0.86630212,6.878197007
623,oil,861,2614,2768,906,1392,2202,2472,3016,2180,03-01-2021,PIXEL_0228,1.056186374,7.09511347
461,oil,764,2336,2757,786,1229,2131,2459,2756,1749,03-01-2021,PIXEL_0236,1.027183953,6.898157415
380,oil,627,2309,2638,599,1029,1930,2317,2256,1258,03-01-2021,PIXEL_0227,0.920077007,7.148310774
406,oil,569,1406,1551,454,737,1312,1444,1083,685,03-01-2021,PIXEL_0246,1.085908402,6.949220886
482,oil,746,2150,2426,959,1328,1805,2073,3305,2183,03-01-2021,PIXEL_0248,0.974506254,6.983334652
352,oil,607,2168,2540,575,1052,1798,2112,2402,1405,03-01-2021,PIXEL_0269,0.892901968,6.964994473
536,oil,755,2166,2540,845,1284,1861,2168,2801,1778,03-01-2021,PIXEL_0268,0.92797042,6.904258193
392,oil,616,2261,2414,603,1048,1833,2103,2168,1203,03-01-2021,PIXEL_0267,0.865334863,6.985528935
441,oil,671,1660,1799,777,1126,1342,1537,2119,1489,03-01-2021,PIXEL_0266,0.743545417,6.930064893
678,oil,964,1833,2217,1176,1370,1695,1821,2843,2337,03-01-2021,PIXEL_0263,1.125390113,6.963435968
320,oil,462,2060,2213,397,779,1752,2079,1444,682,03-01-2021,PIXEL_0262,0.908774942,6.830650643
474,oil,719,2092,2393,869,1144,1751,1954,2511,1668,03-01-2021,PIXEL_0259,0.849970156,7.123145959
386,oil,564,1382,1585,608,969,1228,1358,1672,990,03-01-2021,PIXEL_0247,0.767009546,6.919183134
501,oil,731,2044,2351,827,1287,1758,1973,2609,1516,03-01-2021,PIXEL_0258,0.87524209,6.832831355
595,oil,868,2610,2784,875,1365,2185,2448,2880,1873,03-01-2021,PIXEL_0256,0.944392118,6.813056399
309,oil,605,2258,2510,582,1107,1882,2150,2218,1213,03-01-2021,PIXEL_0255,0.804745975,7.033393554
780,oil,1050,2310,2586,1210,1574,1957,2175,3546,2668,03-01-2021,PIXEL_0254,1.176206171,6.9714173
483,oil,676,1900,2279,886,1232,1734,1953,2684,1638,03-01-2021,PIXEL_0253,0.813137965,7.098251967
410,oil,669,2471,2584,708,1064,1964,2257,2295,1409,03-01-2021,PIXEL_0251,0.789210273,7.147746792
574,oil,941,2852,3125,871,1516,2566,2841,2995,1987,03-01-2021,PIXEL_0250,1.082146762,6.967022152
451,oil,725,1842,2188,821,1225,1726,1912,2669,1821,03-01-2021,PIXEL_0249,1.05879757,7.200764861
2326,oil,2784,3794,3727,3090,3282,3530,3522,4421,3161,03-01-2021,PIXEL_0257,0.954224235,6.994375231
466,oil,742,2258,2499,840,1358,1851,2104,2856,1831,03-01-2021,PIXEL_0270,0.760360607,6.99228343
363,oil,717,3803,3960,507,1096,2993,3492,2201,1083,03-01-2021,PIXEL_0226,0.855918702,6.964440748
380,oil,674,2114,2664,656,1198,2041,2304,2307,1291,03-01-2021,PIXEL_0223,0.957017169,7.124003638
567,rubber,867,2178,2404,959,1383,1927,2106,3004,2086,03-01-2021,PIXEL_0199,1.076460649,6.986962036
395,rubber,677,1944,2164,758,1202,1685,1896,2597,1723,03-01-2021,PIXEL_0198,0.945245302,7.179134687
340,rubber,516,1394,1749,514,834,1348,1526,1540,941,03-01-2021,PIXEL_0196,0.98052654,6.932061456
510,rubber,813,2310,2607,899,1371,2012,2265,2860,1866,03-01-2021,PIXEL_0194,0.999995973,7.130184711
336,rubber,588,2122,2256,607,1032,1742,1963,2382,1414,03-01-2021,PIXEL_0193,0.743053978,7.01449092
916,rubber,1448,2656,3854,1964,2420,2987,3378,3507,2542,03-01-2021,PIXEL_0192,0.769595955,6.921842826
667,rubber,818,1950,2267,877,1269,1808,1979,2606,1818,03-01-2021,PIXEL_0189,1.118209044,6.878326003
318,rubber,543,2574,2840,482,972,2131,2556,2141,1066,03-01-2021,PIXEL_0200,0.937493352,7.185416835
517,rubber,784,2019,2156,893,1236,1671,1852,2787,2274,03-01-2021,PIXEL_0188,1.156920671,7.179001753
312,rubber,510,1422,1562,605,824,1174,1397,1627,1039,03-01-2021,PIXEL_0186,0.952686545,7.177051044
1510,rubber,1768,2566,2859,1824,1938,2420,2612,2804,2088,03-01-2021,PIXEL_0185,1.113631176,6.929326473
968,rubber,927,1726,1600,849,1117,1370,1472,1726,1182,03-01-2021,PIXEL_0183,0.995583157,7.093055061
1560,rubber,1522,3117,3035,1252,2113,2621,2740,3390,2147,03-01-2021,PIXEL_0182,0.958761294,6.929179688
499,rubber,832,2410,2767,937,1497,2096,2332,3375,2116,03-01-2021,PIXEL_0181,0.811572781,6.887325176
3124,rubber,3110,4209,4847,3142,3832,4314,4559,5005,4069,03-01-2021,PIXEL_0180,1.041263838,6.970769834
456,rubber,582,1093,1325,592,732,1047,1177,1112,823,03-01-2021,PIXEL_0178,1.0262961,6.933224872
708,rubber,960,2868,3182,908,1400,2388,2726,2787,1586,03-01-2021,PIXEL_0187,0.793255205,6.818270632
467,oil,684,2360,2336,782,1188,1845,2096,2236,1570,03-01-2021,PIXEL_0225,0.939781475,7.096825625
3510,oil,3298,4337,3914,2986,3202,3541,3678,4436,3293,03-01-2021,PIXEL_0201,1.086928505,7.129208814
4388,oil,4732,5271,6043,5052,5495,5737,5842,5964,5196,03-01-2021,PIXEL_0203,0.976631875,6.91601402
2314,oil,2300,3496,3367,2240,2694,3056,3229,3576,2425,03-01-2021,PIXEL_0222,0.7568166,7.176920783
348,oil,653,3915,4131,487,1055,2975,3662,2369,1149,03-01-2021,PIXEL_0220,0.92123259,7.206240956
1094,oil,1116,2732,2946,1054,1489,2424,2697,2034,1368,03-01-2021,PIXEL_0218,0.739089154,6.869850378
346,oil,592,2188,2154,615,1012,1635,1874,2485,1590,03-01-2021,PIXEL_0217,0.761647384,7.117661446
363,oil,637,2986,3240,497,1014,2426,2899,2062,997,03-01-2021,PIXEL_0216,0.826928513,6.914319161
487,oil,754,2812,3263,688,1278,2586,2856,2616,1377,03-01-2021,PIXEL_0214,0.840479447,7.027876078
533,oil,809,2333,2631,874,1310,1989,2258,3164,2316,03-01-2021,PIXEL_0213,0.957124716,6.947080309
493,oil,596,1080,1178,593,763,1025,1064,1153,747,03-01-2021,PIXEL_0202,1.085753441,6.805816853
423,oil,642,1807,2234,747,1037,1731,1977,2430,1600,03-01-2021,PIXEL_0212,1.052876687,6.994485451
373,oil,726,2404,2640,755,1275,1968,2247,2832,1689,03-01-2021,PIXEL_0210,0.937452115,7.002368991
686,oil,899,2060,2290,1044,1378,1757,1994,3139,2313,03-01-2021,PIXEL_0209,0.789059187,7.095477181
425,oil,683,2054,2275,805,1212,1673,1931,2697,1658,03-01-2021,PIXEL_0208,0.805377419,6.917828112
330,oil,586,3296,3415,433,1056,2460,3098,2259,1180,03-01-2021,PIXEL_0207,0.830962587,6.905894701
3374,oil,3936,4332,5198,4376,4513,4805,4979,4869,4135,03-01-2021,PIXEL_0206,0.998245763,7.029311598
1260,oil,1512,2696,2858,1608,1845,2263,2504,3270,2089,03-01-2021,PIXEL_0205,0.915535267,6.799291773
475,oil,731,2088,2346,853,1298,1688,1916,2988,1809,03-01-2021,PIXEL_0204,0.85583305,7.083970462
464,oil,695,2050,2293,781,1195,1732,1948,2523,1467,03-01-2021,PIXEL_0211,0.833047864,7.030930784
658,oil,883,2307,2714,945,1380,2047,2326,2765,1597,03-01-2021,PIXEL_0271,0.964135345,6.798837981
541,oil,854,2578,2920,788,1334,2167,2487,2793,1679,03-01-2021,PIXEL_0272,0.956476361,6.879098461
495,oil,730,2966,3296,639,1013,2475,2984,2017,968,03-01-2021,PIXEL_0273,0.866108218,7.143513346
401,rubber,717,2490,2602,752,1245,2076,2311,2673,1676,03-01-2021,PIXEL_0149,0.817504219,7.216289198
399,rubber,669,1738,1968,849,1200,1460,1605,2579,1866,03-01-2021,PIXEL_0137,0.793611305,7.164304007
262,rubber,431,915,1064,490,666,805,933,1124,660,03-01-2021,PIXEL_0136,0.808107263,7.156730938
685,rubber,998,3006,3232,1098,1540,2591,2926,3369,2455,03-01-2021,PIXEL_0135,1.174617622,7.20269889
417,rubber,617,1526,1764,719,1065,1398,1509,2268,1576,03-01-2021,PIXEL_0133,0.993295492,7.150832123
453,rubber,703,2288,2407,763,1131,1895,2148,2599,1693,03-01-2021,PIXEL_0125,0.773316226,7.204153017
409,rubber,665,2014,2370,753,1122,1798,2078,2530,1612,03-01-2021,PIXEL_0123,0.920155795,7.17284836
748,rubber,994,2302,2552,1154,1476,2006,2228,3305,2485,03-01-2021,PIXEL_0150,1.168841257,7.187883693
616,rubber,883,1992,2140,1146,1425,1654,1812,3348,2585,03-01-2021,PIXEL_0114,1.121046386,7.169351544
1064,rubber,1268,2756,2966,1288,1948,2363,2617,3155,1985,03-01-2021,PIXEL_0111,0.861770094,7.185033613
548,rubber,799,2387,2602,927,1385,2070,2289,3112,2401,03-01-2021,PIXEL_0109,1.026804013,7.207326114
947,cocoa,1060,2070,1937,1196,1394,1557,1697,2789,2060,03-01-2021,PIXEL_0098,0.990363454,7.207039259
558,cocoa,807,1892,2160,1136,1383,1599,1785,3462,2610,03-01-2021,PIXEL_0095,1.033539858,7.227725014
420,cocoa,692,1969,2491,707,1162,1872,2132,2320,1454,03-01-2021,PIXEL_0089,0.918347485,7.177846752
420,cocoa,653,1670,1948,767,1060,1478,1725,2097,1467,03-01-2021,PIXEL_0088,1.019138377,7.231191483
435,cocoa,711,2074,2170,848,1150,1675,1886,2570,1526,03-01-2021,PIXEL_0082,0.867795167,7.148250385
4120,rubber,3794,4636,4142,3486,3818,3947,4040,4722,3845,03-01-2021,PIXEL_0113,0.989898773,7.177087792
655,cocoa,938,2304,2668,1110,1405,2082,2306,3361,2618,03-01-2021,PIXEL_0080,1.102369805,7.147602915
498,rubber,808,2395,2684,852,1291,2042,2383,2698,1675,03-01-2021,PIXEL_0151,1.154424297,7.219584013
268,rubber,398,780,883,476,636,713,825,1049,775,03-01-2021,PIXEL_0171,0.781750794,7.192224764
451,oil,711,2094,2151,795,1109,1670,1940,2361,1583,03-01-2021,PIXEL_0293,1.188317301,7.228493074
370,oil,588,1124,1246,744,900,1000,1131,1761,1455,03-01-2021,PIXEL_0289,0.780099664,7.186538217
333,oil,596,1930,2238,638,1065,1657,1917,2493,1509,03-01-2021,PIXEL_0287,1.015677968,7.179455943
369,oil,666,2181,2588,704,1151,1946,2342,2366,1322,03-01-2021,PIXEL_0286,0.773492119,7.193646073
614,oil,988,2128,2314,1018,1429,1831,2047,3012,2376,03-01-2021,PIXEL_0282,1.17608048,7.214786445
520,oil,743,1398,1673,912,1138,1243,1434,2748,2405,03-01-2021,PIXEL_0276,1.116096077,7.15202646
415,oil,672,2462,2574,710,1062,1957,2248,2291,1409,03-01-2021,PIXEL_0251,0.789210273,7.147746792
