blue,crop_type,green,nir,nir08,red,rededge1,rededge2,rededge3,swir16,swir22,time,unique_id,x,y
559,cocoa,771,2404,2585,846,1240,2006,2326,2630,1684,2022-01-03,PIXEL_0001,0.9575263208659828,6.8998517230540575
537,cocoa,916,2448,2750,1096,1464,2124,2390,2851,1823,2022-01-08,PIXEL_0001,0.9575263208659828,6.8998517230540575
540,cocoa,877,2402,2498,1084,1415,1943,2184,3069,2100,2022-01-23,PIXEL_0001,0.9575263208659828,6.8998517230540575
1944,cocoa,2094,3076,3307,2260,2537,2809,3043,3887,2979,2022-01-28,PIXEL_0001,0.9575263208659828,6.8998517230540575
2062,cocoa,2092,2484,2599,2210,2293,2371,2529,2837,2275,2022-02-12,PIXEL_0001,0.9575263208659828,6.8998517230540575
2007,cocoa,2156,3198,3331,2400,2659,2869,3054,4318,3519,2022-02-22,PIXEL_0001,0.9575263208659828,6.8998517230540575
1838,cocoa,2136,3354,3703,2512,2795,3017,3207,4804,3779,2022-02-27,PIXEL_0001,0.9575263208659828,6.8998517230540575
1653,cocoa,1850,2764,2970,2076,2313,2523,2748,3930,3393,2022-03-04,PIXEL_0001,0.9575263208659828,6.8998517230540575
1836,cocoa,2030,3114,3316,2290,2569,2840,3054,4160,3562,2022-03-14,PIXEL_0001,0.9575263208659828,6.8998517230540575
2548,cocoa,2554,3146,3339,2676,2868,3035,3168,3583,2852,2022-03-29,PIXEL_0001,0.9575263208659828,6.8998517230540575
1734,cocoa,2134,4179,4390,1985,2596,3737,4169,3830,2972,2022-04-23,PIXEL_0001,0.9575263208659828,6.8998517230540575
2050,cocoa,2344,3646,4091,2566,2852,3483,3734,4374,3840,2022-05-08,PIXEL_0001,0.9575263208659828,6.8998517230540575
1508,cocoa,1700,3032,3326,1755,2105,2829,3345,3249,2673,2022-05-13,PIXEL_0001,0.9575263208659828,6.8998517230540575
1748,cocoa,2154,3479,3799,2542,2818,3353,3499,4302,3826,2022-05-18,PIXEL_0001,0.9575263208659828,6.8998517230540575
1857,cocoa,2074,3177,3372,2310,2502,2930,3144,4130,3907,2022-06-02,PIXEL_0001,0.9575263208659828,6.8998517230540575
2009,cocoa,2136,4135,4406,1908,2390,3760,4164,3511,2529,2022-07-07,PIXEL_0001,0.9575263208659828,6.8998517230540575
1582,cocoa,1884,4112,4598,1818,2383,3758,4321,3869,2931,2022-07-22,PIXEL_0001,0.9575263208659828,6.8998517230540575
1755,cocoa,1996,3554,3844,2254,2625,3144,3553,4248,3523,2022-08-11,PIXEL_0001,0.9575263208659828,6.8998517230540575
1608,cocoa,1902,5048,5261,1714,2356,4416,5060,3782,2713,2022-10-20,PIXEL_0001,0.9575263208659828,6.8998517230540575
1604,cocoa,1950,4983,5290,1673,2406,4511,5085,3544,2480,2022-10-30,PIXEL_0001,0.9575263208659828,6.8998517230540575
1416,cocoa,1583,2681,2817,1486,1817,2530,2759,2148,1624,2022-11-29,PIXEL_0001,0.9575263208659828,6.8998517230540575
1752,cocoa,2044,4257,4656,1912,2527,3972,4359,3818,2662,2022-12-04,PIXEL_0001,0.9575263208659828,6.8998517230540575
2746,cocoa,2854,4572,4836,2738,3207,4226,4604,4025,2965,2022-12-09,PIXEL_0001,0.9575263208659828,6.8998517230540575
1556,cocoa,1900,4176,4404,1759,2363,3776,4137,3576,2521,2022-12-14,PIXEL_0001,0.9575263208659828,6.8998517230540575
1560,cocoa,1754,3851,4078,1692,2204,3403,3799,3463,2527,2022-12-19,PIXEL_0001,0.9575263208659828,6.8998517230540575
1672,cocoa,1912,3893,4021,1979,2448,3339,3689,3821,2897,2022-12-29,PIXEL_0001,0.9575263208659828,6.8998517230540575
2019,cocoa,2336,3950,4168,2432,2934,3603,3881,4089,3049,2023-01-03,PIXEL_0001,0.9575263208659828,6.8998517230540575
1792,cocoa,2020,3758,3979,2216,2672,3314,3636,4107,3072,2023-01-08,PIXEL_0001,0.9575263208659828,6.8998517230540575
1647,cocoa,1842,3366,3523,2122,2451,2873,3208,4175,3285,2023-01-18,PIXEL_0001,0.9575263208659828,6.8998517230540575
