unique_id,time,x,y,red,nir,swir16,swir22,blue,green,rededge1,rededge2,rededge3,nir08
ID_01FHV4,59:22.9,-296455,846395,0.292,0.3686,0.4173,0.3869,0.2488,0.2708,0.3211,0.3555,0.3752,0.3862
ID_01FHV4,59:22.9,-296455,846395,0.292,0.3686,0.4173,0.3869,0.2488,0.2708,0.3211,0.3555,0.3752,0.3862
ID_01FHV4,59:25.2,-296455,846395,0.351,0.3426,0.4817,0.4577,0.2538,0.2914,0.3684,0.3484,0.3588,0.3628
ID_01FHV4,59:25.2,-296455,846395,0.351,0.3426,0.4817,0.4577,0.2538,0.2914,0.3684,0.3484,0.3588,0.3628
ID_01FHV4,59:24.4,-296455,846395,0.5312,0.6296,0.6643,0.5882,0.5244,0.5308,0.6016,0.6217,0.6401,0.6404
ID_01FHV4,59:24.4,-296455,846395,0.5312,0.6296,0.6643,0.5882,0.5244,0.5308,0.6016,0.6217,0.6401,0.6404
ID_01FHV4,59:26.9,-296455,846395,0.8536,0.9064,0.2518,0.2855,0.9264,0.8808,0.9324,0.9098,0.8877,0.8682
ID_01FHV4,59:26.9,-296455,846395,0.8536,0.9064,0.2518,0.2855,0.9264,0.8808,0.9324,0.9098,0.8877,0.8682
ID_01FHV4,59:29.3,-296455,846395,0.6124,0.4576,0.387,0.3576,0.6656,0.6028,0.7149,0.6607,0.6739,0.6732
ID_01FHV4,59:29.3,-296455,846395,0.6124,0.4576,0.387,0.3576,0.6656,0.6028,0.7149,0.6607,0.6739,0.6732
ID_01FHV4,59:32.3,-296455,846395,0.6924,0.6888,0.4697,0.4308,0.8392,0.742,0.7345,0.7025,0.7008,0.7052
ID_01FHV4,59:32.3,-296455,846395,0.6924,0.6888,0.4697,0.4308,0.8392,0.742,0.7345,0.7025,0.7008,0.7052
ID_01FHV4,59:30.4,-296455,846395,0.2672,0.333,0.3842,0.3404,0.2374,0.2474,0.2955,0.3282,0.3565,0.3657
ID_01FHV4,59:30.4,-296455,846395,0.2672,0.333,0.3842,0.3404,0.2374,0.2474,0.2955,0.3282,0.3565,0.3657
ID_01FHV4,59:31.8,-296455,846395,1.008,1.0336,0.638,0.4861,0.9712,0.9856,0.976,0.9972,1.039,1.0518
ID_01FHV4,59:31.8,-296455,846395,1.008,1.0336,0.638,0.4861,0.9712,0.9856,0.976,0.9972,1.039,1.0518
ID_01FHV4,59:31.1,-296455,846395,0.7264,0.8,0.4135,0.4233,0.8044,0.7348,0.7857,0.7847,0.7898,0.7867
ID_01FHV4,59:31.1,-296455,846395,0.7264,0.8,0.4135,0.4233,0.8044,0.7348,0.7857,0.7847,0.7898,0.7867
ID_01FHV4,59:31.3,-296455,846395,1.3048,1.1472,0.7808,0.6296,1.5208,1.3616,1.3256,1.2197,1.1992,1.1834
ID_01FHV4,59:31.3,-296455,846395,1.3048,1.1472,0.7808,0.6296,1.5208,1.3616,1.3256,1.2197,1.1992,1.1834
ID_01FHV4,59:30.1,-296455,846395,0.68,0.6936,0.5934,0.5295,0.7352,0.7016,0.7226,0.704,0.7018,0.7003
ID_01FHV4,59:30.1,-296455,846395,0.68,0.6936,0.5934,0.5295,0.7352,0.7016,0.7226,0.704,0.7018,0.7003
ID_01FHV4,59:33.1,-296455,846395,0.3956,0.4948,0.4299,0.3847,0.4424,0.4164,0.4498,0.4714,0.4976,0.5041
ID_01FHV4,59:33.1,-296455,846395,0.3956,0.4948,0.4299,0.3847,0.4424,0.4164,0.4498,0.4714,0.4976,0.5041
ID_01FHV4,59:28.9,-296455,846395,0.3614,0.399,0.5844,0.5585,0.2582,0.2942,0.3893,0.3928,0.4109,0.4353
ID_01FHV4,59:28.9,-296455,846395,0.3614,0.399,0.5844,0.5585,0.2582,0.2942,0.3893,0.3928,0.4109,0.4353
ID_01FHV4,59:32.3,-296455,846395,0.319,0.3654,0.5429,0.5067,0.217,0.2646,0.3524,0.3553,0.3747,0.4008
ID_01FHV4,59:32.3,-296455,846395,0.319,0.3654,0.5429,0.5067,0.217,0.2646,0.3524,0.3553,0.3747,0.4008
ID_01FHV4,59:27.2,-296455,846395,0.7624,0.7984,0.6637,0.5342,0.8056,0.7772,0.8329,0.8104,0.8098,0.8016
ID_01FHV4,59:27.2,-296455,846395,0.7624,0.7984,0.6637,0.5342,0.8056,0.7772,0.8329,0.8104,0.8098,0.8016
